StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location
a2t3,Zui Yun Nan 最云南 (Bugis/City Hall),Asian,0,0,singapore,"188091, 188091 Bugis/City Hall, Central, Singapore, Singapore,"
a2ti,Dim Sum Master (Changi City Point),Chinese,3.2,17,singapore,"5 Changi Business Park Central 1, Changi City Point 01-28, Wok Master,"
a2xd,Xiang Man Yuan 香满园 (Soon Huat Food Centre),Chinese,4.8,210,singapore,"Blk 233 Lor 8 Toa Payoh, Unit: 01-268, Singapore 310233,"
a2zk,Japanese & Korean Cuisine (Buangkok Square),Japanese,0,0,singapore,"991 Buangkok Link #02-21 Singapore 530991, S 530991,"
a30t,Xiang Xiang Fish Soup & Handmade Noodle (Ang Mo Kio),Noodles,5,79,singapore,"Blk 107 Ang Mo Kio Ave 4, Food Loft Coffeeshop, #01-164, Stall No. 7, Singapore 560107,"
a30v,Papa Cafe (Limbang),Indian,4.9,31,singapore,"Choa Chu Kang St 51 533 #01-27, 680533 Bukit Panjang, West, Singapore, Singapore,"
a34k,"828 Wuxiang, Satay, Congee, Mee Siam (823A Tampines St 81) - Islandwide",Singaporean,4.7,71,singapore,"Blk 823A Tampines Street 81, #01-02, Tampines, 521823,,"
a382,Micun Bibimbap 米村拌饭（Bugis/City Hall）,Asian,0,0,singapore,"bugis plus 01-13 188067, S 188067,"
a3b1,Pasta Craft (China Square Food Centre),Pasta,4.8,44,singapore,"51 Telok Ayer Street #01-17A, China Square Food Centre,"
a3bo,Harmony Hut (Vegetarian) (Serangoon North Avenue 1),Vegetarian,5,8,singapore,"Harmony Hut Int'l Food LLP, Serangoon North Ave 1 157A, 551157 Serangoon, North, Singapore, Singapore,"
a3cp,Don Wuri (Bedok),Rice Dishes,4.7,257,singapore,"430 Upper Changi Road 01-44 487048,"
a3d5,Naga Kitchen (Keat Hong Close),Malaysian,5,138,singapore,"802A Keat Hong Close #04-109,"
a3do,Creative Noodle 创新 (Queen Street),Singaporean,0,0,singapore,"Blk 269 Queen Street #01-237 MR1,"
a3i1,Balestier Seafood 马来西亚风味 (Balestier Road),Malaysian,4.9,144,singapore,"567/569 Balestier Road 329884, S 329884,"
a3jl,Broadway Food & Drinks (727 Ang Mo Kio),Coffee,4.9,48,singapore,"Blk 727 Ang Mo kio Ave 6 #01-4236  S560727,"
a3jx,Hong Lim Crispy Curry Puff (Punggol Settlement),,4.4,5,singapore,"500 New Punggol Rd, #01-01/02 The Punggol Settlement, Inside House of Seafood, Singapore 828617,"
a3k5,Lao Huo Tang Signature (Tampines Mall),Chinese,4.8,41,singapore,"Tampines Mall, 4 Tampines Central 5, #B1-01/27,"
a3nq,ZhengXin Chicken Steak 正新鸡排 (Paya Lebar),Asian,0,0,singapore,"60 PAYA LEBAR ROAD #1-71/K6/K7 PAYA LEBAR SQUARE MALL SINGAPORE 409051,"
a3oh,Good Luck Fishball Noodle (Koufu Gek Poh),Noodles,5,177,singapore,"762 Jurong West Street 75, #01-300,"
a3qt,Margherita by d.o.c (Chinatown),Asian,0,0,singapore,"Keong Saik Rd. 83, 089168 Chinatown, Central, Singapore, Singapore,"
a3vg,Tai Mei Wei (Hougang One),Asian,4.9,1128,singapore,"1 Hougang Street 91, #01-04 Hougang 1 Singapore 538692,"
a3ye,Kedai Bakmal Kebab & Grill (Teck Whye),Mediterranean,4.9,7,singapore,"Rasa Rasa Teck Whye, 160A Jln Teck Whye, SG681160,"
a43m,More Batter (Jurong Point),Fried Chicken,4.9,142,singapore,"63 Jurong West Central 3 Jurong Point #B1-64,"
a49h,A.S.M - An Ice Cream Shop (Tampines),,0,0,singapore,"520480,  Blk 480, Tampines St 44, #01-265, 520480 Tampines, East, Singapore, Singapore,"
a4bn,Kebabs Faktory (Funan),Middle Eastern,4.9,571,singapore,"#02-31, 107 North Bridge Rd, Singapore 179105,"
a4f5,Xiang Xiang Fried Food (Choa Chu Kang Market & Food Centre) - Islandwide,Noodles,0,0,singapore,"Blk 253 Choa Chu Kang Market & Food Centre, Choa Chu Kang Ave 1, North, Choa Chu Kang,,"
a4ga,Hokkaido Baked Cheese Tart (Causeway Point),Cakes,5,903,singapore,"1 Woodlands Square, Causeway Point, #B1-K25,"
a4gq,Wang's Roasted Delights (Ang Mo kio),Chinese,4.8,250,singapore,"339 Ang Mo Kio Ave 1, #01-1565 Teck Ghee Court,"
a4gx,Brinda's (Woodlands) - Restaurant Delivery,Indian,4.7,60,singapore,"15,woodland loop #01-55 S738322,"
a4jp,Mini Wok Seafood (846 Yishun Ring Road),Fried Rice,4.8,432,singapore,"846 Yishun Ring Rd, #01-3603, Singapore 760846, S760846,"
a4k5,DongQu 東區 (Telok Ayer Street),Chinese,0,0,singapore,"Telok Ayer St 176 176 TELOK AYER STREET, S(068624), 068624 Chinatown, Central, Singapore, Singapore,"
a4tx,鸡煲之家 Chicken Claypot House (Geylang Road),Chinese,0,0,singapore,"757 geylang Road Lorong 39 Singapore 389659,"
a4xx,Fried Chicken Master (Suntec City),Asian,4.9,21,singapore,"3 Temasek Boulevard, Mall, #02-601 Suntec City, Singapore 038983, S 38983,"
a4yx,Konjiki Hototogisu (Jewel),Japanese,4.3,43,singapore,"78 Airport Boulevard #B1-300,"
a55x,V&V Kitchen (L&Y Building),Indian,0,0,singapore,"59 Jalan Pemimpin, #01-03 & #01-04, 59 Jln Pemimpin, #01-03/04, L&Y Building, S 577218,"
a5bi,yu xuan japanese and korean cuisine (Woodlands),Japanese,4.9,70,singapore,"Blk 115 Canberra walk, #01-01, 750115,"
a5bt,Coffeesmith (Suntec City),Coffee,5,59,singapore,"Temasek Boulevard #02-413, Suntec City Mall Tower 5,"
a5h2,Jack'S Place (City Square Mall),Western,5,6,singapore,"City Square Mall #04-39/40, 180 Kitchener Rd Singapore,"
a5j9,Tanjong Rhu Wanton Noodles (1986) (221 Boon Lay Place),Asian,4.8,16,singapore,"Boon Lay Pl 221 01-170 (stall 15), 640221 Jurong West, West, Singapore, Singapore,"
a5k4,Sumo Ramen (Ang Mo Kio),Japanese,0,0,singapore,"151 Ang Mo Kio Ave 5 #01-3030, Yio Chu Kang Grove SG560151, S 560151,"
a5nx,Korean Cuisine (681 Gourmet Paradise by Koufu),Korean,5,384,singapore,"681 Punggol Drive #04-01 Oasis Terrace Stall 4,"
a5pa,Just Love Bread (Ang Mo Kio Avenue 6),Bakery,5,84,singapore,"Blk 724 Ang Mo Kio Ave 6, #01-43, Ang Mo Kio, 560724, Singapore,"
a5py,THE NEIGHBOURWOK (177 BUKIT BATOK WEST AVENUE 8),Noodles,5,876,singapore,"177 Bukit Batok West Avenue 8, Get Together Coffeeshop, 欢聚一堂 Unit No: 650177,"
a5tl,100% Fresh Kampong Chicken and Chinese Cuisine (Jalan Besar),Mala Xiang Guo,4.9,117,singapore,"405 Jalan Besar, S209011,"
a5ue,Jia Xiang Mala Hotpot （Chinatown）家乡麻辣香锅 . 麻辣烫 . 炸串（牛车水 (People's Park Complex),Chinese,5,345,singapore,"1 Park Road #01-78C People's Park Complex, Singapore 059108,"
a5zz,Coffee & Chirashi (Sunshine Place),Rice Dishes,5,361,singapore,"475 Choa Chu Kang Ave 3 Sunshine Place #01-23 Singapore 680475,"
a68w,Soon Huat Wanton Noodle (Pek Kio Market & Food Centre) - Islandwide,Chinese,0,0,singapore,"#01-04 Pek Kio Market and Food Centre, Blk 41A Cambridge Road,"
a6ac,Roasted Master (Compassvale Bow),Chinese,4.9,123,singapore,"266 COMPASSVALE BOW #01-01,"
a6as,Aussie Roll (Raffles Place),Seafood,5,431,singapore,"9 Raffles Place B1-05, Republic Plaza,"
a6e5,Mr Fried Rice (Lucky Plaza),Western,4.2,7,singapore,"304 ORCHARD ROAD #06-48A LUCKY PLAZA SINGAPORE,"
a6gz,Akashi Japanese Restaurant (Paragon),Japanese,4.9,178,singapore,"290 Orchard Road, The Paragon, #B1-01/02,"
a6h1,Tasty Sarawak Kolo Mee (Yew Tee Point),Chinese,5,205,singapore,"21 Choa Chu Kang North 6, B1 - 17/22, Singapore, 689578, S 689578,"
a6ke,Rixin Fish Soup And Noodle (Best Coffee Pte Ltd Jurong West),Seafood,4.3,97,singapore,"959 Jurong west st 92 #01-150/152,"
a6lb,Asylum Coffeehouse (JalanBesar),Beverages,4.9,101,singapore,"311 Jalan Besar #01-00 Singapore 208970,"
a6qj,O.BBa Jjajang (59 Tanjong Pagar Road),Korean,4.8,13,singapore,"59 Tg Pagar Rd, Singapore 088480,"
a6tp,To Go Soup (162 Rochor Road) - Islandwide,Chinese,0,0,singapore,"162 Rochor Road, Level 1 ,Bugis Village, Singapore 188437,"
a71k,The South Indian Kitchen (Upper Changi),Indian,4.8,36,singapore,"430 Upper Changi Rd, East, Bedok, 01-65,"
a722,Nong Geng Ji Hunan Cuisine 农耕记 (Great World),Beverages,0,0,singapore,"1 Kim Seng Promenade, Great World #01-116/116 SG237994,"
a787,Deli Delight Western (Serangoon),Western,4.9,19,singapore,"475 UPPER SERANGOON CRESCENT #01-01 PARKLAND RESIDENCES SG530475, S 530475,"
a7b3,Masalaa Bar (East Coast Road),Indian,4.9,303,singapore,"723 East Coast Rd, S 459071,"
a7d2,Tori Yama Yakitori (Outram Road),Japanese,4.7,64,singapore,"269 OUTRAM ROAD Unit no: 01-00 SINGAPORE 169061,"
a7ey,The Coffee Bean & Tea Leaf (Dairy Farm Mall),Coffee,5,57,singapore,"4 Dairy Farm Lane, #01-01/02 Dairy Farm Mall 677622,"
a7fc,Padi Emas Seafood BBQ (214 Jurong East St 21) - Islandwide,Fried Rice,5,446,singapore,"214 Jurong East Street 21, #01-441,"
a7g3,SMILE DESSERT (Funan),Dessert,4.9,17,singapore,"107 North Bridge Road Funan Capitaland Mall #02-03,"
a7ki,Fu Zhou Ban Mian (Toa Payoh),Chinese,4.9,985,singapore,"BLK 186 TOA PAYOH CENTRAL #01-402,"
a7li,Ah Heng Duck Rice (Hong Lim Market & Food Centre),Chinese,4.9,49,singapore,"531A upper cross street 02-64 Hong Lim Food Centre, 051531,"
a7my,HanKki (Woodlands Square),Korean,5,160,singapore,"6 Woodlands Square B2-02,"
a7nr,Jiu Fu Seafood (Bishan Street 11),Chinese,4.9,540,singapore,"151 Bishan Street 1 01-193,"
a7vf,11 PenangLane Bistro (Ji Hotel Orchard Singapore),Burgers,0,0,singapore,"11PenangLane Bistro, Penang Ln 11, 238485Outer Central,  Singapore, Singapore,"
a89e,Hakka Leipopo (Anchorvale Village),,4.9,54,singapore,"339 Anchorvale Rd, #02-05, Anchorvale Village Hawker Centre, Singapore 540339, S 540339,"
a8ed,Qiqi Mala Hotpot (East Coast Road),Chinese,4.7,511,singapore,"228 East Coast Road Singapore 428925,"
a8ij,Food Republic - Wisma Atria (Mix & Match),Rice Dishes,4.9,277,singapore,"#04-02, #04-03 to 29 & #04-31 to 38 Wisma Atria, 435 Orchard Rd, 238877,"
a8il,Handmade Noodles & Fish Soup(板面&鱼汤),Noodles,4.9,1891,singapore,"1 Woodlands Square Unit 07-03A causeway point Singapore 738099,"
a8lh,Nando's (Jurong Point) - Islandwide,Chicken,5,60,singapore,"1 Jurong West Central 2 #02-32/33,"
a8zi,Joo Chiat (1917) Nasi Lemak (Parkway Parade),Malaysian,0,0,singapore,"80 Marine Parade Rd, Parkway Parade #01-k37, S 449269,"
a90y,Boleh Boleh (Clementi Mall),Singaporean,4.9,1411,singapore,"#04-20/21/22 The Clementi Mall, 3155 Commonwealth Avenue West, S 129588,"
a917,Tasty China 锦绣中华 (Beauty World Centre),Chinese,4.8,45,singapore,"Upper Bukit Timah Rd, #01-35 Beauty World Centre, 144, SG588177,"
a939,Yummy Malatang (669B Jurong West),Mala Xiang Guo,5,409,singapore,"669B Jurong West, #08-76, Singapore 642669,"
a98y,The Alley (Jurong),Bubble Tea,5,49,singapore,"100 Jurong West Ave 1 649519,"
a9bj,R&B Tea (Sun Plaza),Bubble Tea,5,550,singapore,"30 Sembawang Drive #B1-38,"
a9n5,One Ton Mee (Marsiling) - Islandwide,Chinese,0,0,singapore,"10 Marsiling Ind Estate Road 1 #01-01, S 739276,"
a9nt,La Jiang Shan Biang Biang Noodle (North Bridge Road),Chinese,4.9,61,singapore,"490/492 NORTH BRIDGE ROAD SINGAPORE 188737,"
a9o7,Wang Fu Dim Sum 王府上海点心 (Fusionopolis Galaxis),,4.9,308,singapore,"Galaxis, Fusionopolis Pl 1 01-17, 138522 Buona Vista, Outer Central, Singapore, Singapore,"
aa3e,Eclipse (Hougang),,4.6,6,singapore,"Stars of Kovan, Upper Serangoon Rd 988, 534733 Hougang, North, Singapore, Singapore,"
aa6t,AN-NUR RESTAURANT (768 Upper Serangoon Rd),Indian,4.9,219,singapore,"768Upper Serangoon Rd , 02-03 ,  534636 , Singapore,"
aa73,Papa Ayam (VivoCity) - Islandwide,Indonesian,5,6,singapore,"1 HarbourFront Walk #B2-23B, VivoCity, Singapore 098585,"
aah1,C_homecook Hakka Thunder Tea (Toa Payoh),Chinese,5,127,singapore,"blk 125 toa payoh lor 1 01-523, 310125 Singapore ( johnson eatery coffee shop ),"
aak9,Jakarta Ropang Project (111 Somerset),Asian,3.8,14,singapore,"111 Somerset Road, #01-08 TripleOne Somerset, Singapore 238164,"
abcp,MIA mala xiangguo 美雅麻辣香锅 (Ang Mo Kio),Mala Xiang Guo,4.8,313,singapore,"215 Ang Mo Kio Ave 1, Singapore, S 560215,"
abg0,Ree.Connect By Ree And Mummy (Katong V),Cakes,4.9,15,singapore,"30 East Coast Road, #01-03 Katong V, 428751,"
abuo,KVR Foods (Ubi Techpark）,,0,0,singapore,"Ubi Cres 10 Lobby A, 408564 Paya Lebar, East, Singapore, Singapore,"
abzl,MEE2U DAPUR (Food City Eating House),Indonesian,4.9,11,singapore,"1550 BEDOK FOODCITY (YUEHUA EATING HOUSE) LEVEL 1 COFFEESHOP #01-15 489950,"
ac1f,Mufiz Spice Restaurant (Boon Keng) - Islandwide,Indian,4.9,50,singapore,"Blk 18, Upper Boon Keng, #01-1121, Singapore - 380018,"
ac90,Chuan Seafood Restaurant (Robertson Blue),Asian,0,0,singapore,"Robertson Quay 86 86 robertson quay #01-02 singapore 238245, 238245 Clarke Quay, Central, Singapore, Singapore,"
acek,Ah Jie Hokkien Mee (Ang Mo Kio),Singaporean,4.9,43,singapore,"560721, 560721 Ang Mo Kio, North, Singapore, Singapore,"
acg4,WOOWFLES BY BAKERY CUISINE (Seletar Mall),Cakes,5,125,singapore,"33 SENGKANG WEST AVENUE, #B1-K1 THE SELETAR MALL 797653,"
acnd,Tonkatsu By Ma Maison (Jewel) - Islandwide,Japanese,0,0,singapore,"78 Airpot Boulevard, Jewel Changi Airport #02-211,"
acqx,LoveLei Food (Capricorn International),Chinese,0,0,singapore,"018935,  #B2-14, 018935 Marina Bay, Central, Singapore, Singapore,"
acyj,Mr Teh Tarik Express (ARTRA),Asian,5,1182,singapore,"12 ALEXANDRA VIEW, #01-13/14, ARTRA,"
aczw,115 Ho Jiak Western Cuisine (Punggol Drive),Western,4.9,74,singapore,"1 Punggol Drive #02-28 SG828629, S 828629,"
adhu,Kopifellas (Our Tampines Hub),Singaporean,4.8,43,singapore,"Our Tampines Hub, Tampines Walk 1 #01-106, 528523 Tampines, East, Singapore, Singapore,"
adl0,MASHI NO MASHI (Guoco Midtown),Fast Food,4.9,10,singapore,"124 Beach Road, #01-04, Guoco Midtown Singapore, Singapore 189771, S 189771,"
admd,Pasta Pizza (Ang Mo Kio Avenue 4),Pizza,4.9,132,singapore,"108 ANG MO KIO AVE 4 #01-74,"
adog,Cheeky Bee Hoon (White Sands),Chinese,4.9,65,singapore,"1 Pasir Ris Central St 3, White Sands, Inside Koufu, #03-01/02, Singapore 518457,"
adtp,Trovato (Jalan Selaseh),Pasta,5,23,singapore,"26 Jalan Selaseh, Singapore 808445,"
adu0,Yuan Wei HK Wanton Noodles (26 New Upper Changi Road),Asian,4.9,11,singapore,"26 New Upp Changi Road #01-656 (S)462026,"
adw1,Chef Kiss Madame (Ang Mo Kio Ave 3 ),American,3.7,5,singapore,"131 YISHUN STREET 11, #09-241, 760131 Singapore,"
ae5e,Onz 24 Seven Eatery by Bijan (Paya Lebar),Asian,0,0,singapore,"Guillemard Rd 511, 399849 Paya Lebar, East, Singapore, Singapore,"
ae5j,Gao Sheng Seafood (Choa Chu Kang),Chinese,4.8,427,singapore,"429A Choa Chu Kang Avenue 4 #01-01,"
ae8i,Toko Ngopi (Haig Rd),Beverages,4.9,89,singapore,"12 Haig Road #01-323,"
aeb6,Jjak & Co (Tai Seng Centre) - Islandwide,Rice Dishes,5,1,singapore,"02-03, 3 Irving Road, Tai Seng Centre, Macpherson, Paya Lebar,"
aeih,Uncle Noodle (Ayer Rajah Food Centre),Singaporean,4.7,7,singapore,"503 W Coast Dr, #01-04, Singapore 120503,"
aek5,Lao Xiang Lou Tu Cai Guan 老乡楼土菜馆 (2 Venture Drive),Chinese,5,49,singapore,"2 Venture Drive, Vision Exchange #01-19, Singapore, 608526, S 608526,"
aeya,GOOD LUCK FOOD COURT  BLOCK 9 (Toa Payoh),Asian,0,0,singapore,"TOA PAYOH INDUSTRIAL PARK #01-1209 SINGAPORE 319061,"
af4o,Bai Shun Kampong Chicken Rice (Sin Ming Road),Malaysian,4.1,13,singapore,"22 Sin Ming Road #01-258, Stall 07
, Singapore 570022,"
af83,Musketeers Restaurant (Haig Road),,4.8,16,singapore,"26 Haig Road, Singapore 438735,"
afat,Suparakki Ramen (City Link),Japanese,0,0,singapore,"1 RAFFLES LINK, B1-65, CITY LINK MALL,"
afod,Delhi Curry Authentic North Indian Cuisine (Jalan Besar),,3.9,161,singapore,"jalan besar sport center ,100 tyrwhitt road ,#01-05,"
afqk,Daya Izakaya (Seletar),Japanese,5,641,singapore,"254 Jln Kayu, Singapore, S799481,"
ag8u,YES Nanyang Kopi House,Rice Dishes,4.8,106,singapore,"460 Alexandra Road #02-26 ARC@MTower Singapore 119963,"
ag9g,Woot Croffle (177 Bukit Batok West),,4.7,13,singapore,"Blk 177 Bukit Batok West Ave 8, #01-247 (S) 650177,"
ag9w,Kaisha By Chef Keisuke Kaneko (Marina One - The Heart),Japanese,0,0,singapore,":5 Straits View #01-14 The Heart Singapore 018935, S 18935,"
aggd,Khao Hom By Rung Mama (Djitsun Mall),Thai,5,234,singapore,"5 Ang Mo Kio Central 2, Dijitsun Mall, #01-06, 569663,"
aggv,Tokyo Taste (Dairy Farm Mall),Japanese,4.7,10,singapore,"4 Dairy Farm Lane,#01-12 Dairy Farm Mall,Singapore 677622, S 677622,"
agjt,Chocobar (Vision Exchange),Pasta,4.8,23,singapore,"2 Venture Dr, #01-41
Vision Exchange,"
agme,Happy House Mala Hotpot (Clementi354),Chinese,4.9,288,singapore,"Blk354 Clementi Ave2 #01-157,"
ago5,45 WESTERN FOOD (Sims Drive),Western,4.8,23,singapore,"45 SIMS DRIVE #01-150,"
agom,Long Ding Seafood 龙鼎海鲜 (Anchorvale Village),Chinese,5,9,singapore,"339 Anchorvale Rd, #02-32, Anchorvale Village Hawker Centre, Singapore 540339,"
agq5,Heyy Pasta- Test Menu,Italian,0,0,singapore,"-,"
agxx,Ya Ya Roasted Delight (Expo Drive),Chinese,0,0,singapore,"1 Expo Drive, #01-134, Singapore 486150,"
ah1z,Lele Wanton Noodles (Tampines Street 32),Asian,5,7,singapore,"11 Tampines Street 32 #01-01 Singapore 529287 MR2, S 529287,"
ah6v,Fnp Cakes (Woodlands),,4.8,10,singapore,"7 MANDAI ESTATE #07-05 FOODFAB@MANDAI SINGAPORE (729904),"
aham,Xin Wang Hong Kong Cafe (Velocity),Chinese,5,190,singapore,"238 Thomson Road #01-09 Velocity@Novena Square,"
ahl0,KULON (Bali Lane),Malaysian,4.9,126,singapore,"30 Bali Lane, S 189866,"
ahpo,Estee (Tampines Walk),Bakery,4.9,22,singapore,"Our Tampines Hub, Tampines Walk 1 #B1-52, 528523 Tampines, East, Singapore, Singapore,"
ahqj,Heng Heng Herbal Soup (Ang Mo Kio Avenue 3),Singaporean,4.1,104,singapore,"133 Ang Mo Kio Avenue 3, S 560133,"
ahsp,Western Madness (AMK),,0,0,singapore,"722 Ang Mo Kio Ave 8 #01-2843 SG560722,"
ahuu,Steam Master - One Person One Fish (301 Ubi Ave 1),Asian,4.9,201,singapore,"Blk 301 ubi ave 1 #01-305 , stall 2, s400301,"
ahxy,8°1 Seafood (Yishun) - Islandwide,Seafood,0,0,singapore,"747 Yishun Street 72, #01-108 S760747,"
ai5b,The Jip and Lab (Pasir Panjang),,0,0,singapore,"The Jip and Lab, South Buona Vista Rd 3 Viva Vista #01-05, 118136 Clementi, West, Singapore, Singapore,"
ai69,So Lemak (Bedok North),Chicken Wings,5,79,singapore,"217 Bedok North Street 1 #01-77 SG460217,"
aiem,Guan Chee Hong Kong Roasted Duck (Northpoint City),Rice Dishes,4.9,7,singapore,"930 Yishun Ave 2 #B2-12 Northpoint Shopping Center,"
aifa,KOHINOOR-THE TASTE OF INDIA (Science Park) - Restaurant Delivery,Indian,0,0,singapore,"7 Science Park Dr, #01-01, Singapore 119316, S 119316,"
aij2,Sankranti (Tampines),Indian,4.5,438,singapore,"5 Tampines Central 6, #01-22 Telepark, Singapore, 529482,"
aili,Mizu Kirei Shin Izakaya (Changi Village Road),Singaporean,0,0,singapore,"4 Changi Village Road #01-2086,"
aim6,Bai Li Xiang Economic Bee Hoon (Northshore),Singaporean,4.9,234,singapore,"BLK421C NORTHSHORE DRIVE, #01-01, SINGAPORE 823421,"
aiva,Neko Bingsu (Republic Polytechnic),Japanese,4.9,10,singapore,"31 woodland ave 9 #01-01 737907,"
aivr,WE Desi Indian Bistro (City Gate Mall) - Islandwide,Indian,0,0,singapore,"371 Beach Road, City Gate, Unit no 01-02, Singapore 199597,"
aizq,Al Ahamed Delights Express (Pasir Ris),Indian,4.9,89,singapore,"443 Pasir Ris Drive 6 #01-02, Stall 15 SG510443,"
aj42,There Was No Coffee 本来不该有 (Orchard Gateway) - Islandwide,Beverages,0,0,singapore,"277 Orchard Road #01-08, Orchard Gateway, Singapore 238858,"
ajcz,Xin Ji Congee (Hougang River Court),Chinese,5,171,singapore,"377 Hougang River Court Hougang st32 #01-30 Singapore,"
