CompleteStoreName,FoodType,AverageRating,Reviewers,City
OLD AIRPORT ROAD WANTON NOODLE,chinese,4.9,131,singapore
Yukidon Groups,japanese,5,20,singapore
Seed & Co,healthy,5,16,singapore
Texas Lone Star,western,4.9,36,singapore
QB,asian,4.7,29,singapore
Wen Kee BBQ Seafood Tze Char,chinese,4.9,45,singapore
Al Indian Muslim Food,malaysian,4.2,6,singapore
Hyderabad Authentic North Indian Restaurant,indian,4.7,211,singapore
Xin Hainanese Boneless Chicken Rice,chinese,4.9,80,singapore
Aladdin,indian,4.9,17,singapore
AL AMEEN,indian,4.9,674,singapore
Liang Zai Prawn Noodle & Mui Zai Fish Soup,malaysian,5,10,singapore
Zhong Zhong Wu Xiang,chinese,4.1,44,singapore
101 Thai Cuisine,thai,4.9,291,singapore
Com Nieu An La Ghien,vietnamese,4.8,110,singapore
Wanoniku,japanese,5,63,singapore
Sirintra Authentic Thai Cuisines,asian,4.4,57,singapore
Hey Lulu,dessert,4.8,171,singapore
Luci's Kitchen,filipino,5,20,singapore
Thai,vegetarian,4.8,8,singapore
Gyushi,japanese,5,302,singapore
Fro,dessert,5,103,singapore
Bakerland Western Delight,grill,5,215,singapore
Jiaxin Prawn Noodle,asian,4.9,101,singapore
Chef China,chinese,4.8,24,singapore
Hong Kee BKT,chinese,4.7,24,singapore
Ming Fa Fishball,noodles,4.9,182,singapore
Fried Items,malaysian,4.9,2968,singapore
Jade Chicken,western,5,33,singapore
Uncle Dough,rice dishes,4.8,17,singapore
Super Shiok Nasi Lemak,nasi lemak,5,102,singapore
Broadway Food & Drinks,coffee,4.8,21,singapore
Waker Chicken,fried chicken,5,604,singapore
STR TAO,chicken,4.9,1521,singapore
Ali Khan Restaurant,indian,1.6,6,singapore
Fiie's Cafe,chicken rice,5,328,singapore
Kailash Parbat,indian,4.9,86,singapore
Beach Road Scissors Cut Curry Rice,curry,4.8,150,singapore
Ice Bear Western,chicken,5,150,singapore
Wanglee Cafe,malaysian,4.5,5,singapore
Yi Ji Fried Hokkien Prawn Mee,noodles,4.8,157,singapore
Punggol Hakka Lei Cha Rice,asian,4.8,265,singapore
Shen Jap,korean,4.9,340,singapore
Sumo Salad,healthy,5,35,singapore
sen,japanese,4.9,14,singapore
Mazzo Restaurant & Bar,seafood,5,15,singapore
My Korean Moms Kimchi Express,korean,4.9,304,singapore
Tokyo Shokudo,japanese,5,40,singapore
Mermaid,rice dishes,4.7,90,singapore
Japanese Korean Cuisine,japanese,5,397,singapore
Le Le Pot,chinese,4.8,60,singapore
Tenshi Tsukemen,asian,4.7,6,singapore
KPT Jing Fish Soup,seafood,4.9,1048,singapore
MOS Burger Express,burgers,4.9,893,singapore
Hong Kong Street Chun Tat Kee,chinese,4.7,811,singapore
Steamed Gourmet,chinese,4.5,498,singapore
Lam's Noodle & Salt Baked Chicken,noodles,4.9,1321,singapore
LAO SAN KWAY CHAP,asian,4.8,104,singapore
Awfully Chocolate,cakes,5,461,singapore
108 Matcha Saro,dessert,4.8,6,singapore
Funwan,chinese,4.9,34,singapore
Arabisk,mediterranean,4.9,12,singapore
Teppan,japanese,4.9,30,singapore
London Fat Duck,chinese,4.9,118,singapore
CHA SHI,bubble tea,5,736,singapore
GOKU JAPANESE RESTAURANT,japanese,5,228,singapore
The Acai Corner,dessert,4.6,20,singapore
Ji De Lai Kitchen,chinese,4.9,499,singapore
Mao Ba Fishball Noodle,vegetarian,4.7,17,singapore
Dong Sheng Japanese Korean Cuisine,japanese,4.8,1327,singapore
Japan & Korean Food,japanese,4.9,473,singapore
212 DP Eatery,asian,4.4,206,singapore
Himawari Japanese Restaurant,japanese,4.9,88,singapore
Ramen Shiba,japanese,4.9,113,singapore
The Rice Guys,asian,4.9,45,singapore
CGL Kitchen,asian,4.9,26,singapore
Kns Suriya,indian,4.9,460,singapore
Melor,indonesian,5,237,singapore
Men Don,japanese,5,800,singapore
Seng Kee Black Chicken Herbal Soup,soups,5,487,singapore
17 Yogurt,dessert,5,135,singapore
Hong Kong Egglet,snacks,4.9,56,singapore
Hock Hai Curry Chicken Noodle,curry,4.7,224,singapore
Penyet King,indonesian,5,546,singapore
SU SHI LOU VEGETARIAN,chinese,5,573,singapore
Hi Noodle,chinese,4.9,43,singapore
Tongue Tip Lanzhou Beef Noodles,noodles,4.9,334,singapore
Bulgogi Syo,korean,4.7,25,singapore
Director of Porridge,porridge,5,175,singapore
He Le Delight HK Roasted Style,asian,1.9,7,singapore
Golden Jade Traditional H,dessert,4.7,15,singapore
Beauty Nutrition Soup,soups,4.5,21,singapore
Thai Empire,thai,4.9,15,singapore
Yummy Takoyaki,fried chicken,5,9,singapore
Mirch House North Indian Cuisine,indian,3.4,54,singapore
Homtang Thai,thai,4.4,127,singapore
Economic Fried Bee Hoon & Noodle,noodles,4.8,118,singapore
Fragrance Wok Fish Head Steamboat,chinese,4.4,7,singapore
Shu Xiang Fang,chinese,5,8,singapore
Bu Bu Gao Sheng Pancake,snacks,5,22,singapore
Northwest Grain,asian,4.8,24,singapore
Roast & Roll,chinese,4.9,30,singapore
Fried Rice Story,fried rice,4.9,150,singapore
Parivar,indian,2.2,46,singapore
Jian Bo Tiong Bahru Shui Kueh,chinese,5,114,singapore
Chun Yang Tea,bubble tea,5,49,singapore
Marisa's Bakery,dessert,4.9,366,singapore
Izumi Japanese Restaurant,japanese,5,37,singapore
Amigo's,fried chicken,5,653,singapore
Tian Le Fish Soup Ban Mian,asian,4.7,55,singapore
Xiang Duo Duo,chinese,5,146,singapore
The Feather Blade,western,4.4,7,singapore
ASTONS Specialities,grill,5,188,singapore
Heng Man HK Roast Meat,chinese,4.9,215,singapore
Delicatesse,bakery,4.5,11,singapore
Ponnusamy Restaurant,indian,4.3,17,singapore
Raku,asian,4.9,112,singapore
Quan Ji Teochew Noodles,chinese,4.9,6,singapore
Ding Wang Rojak & Min Jiang Kueh,chinese,4.9,95,singapore
Da Shu Mala Xiang Guo,mala xiang guo,4.9,329,singapore
Steamed Healthy Stewed Soup,soups,4.9,105,singapore
Monday Coffee Bar,sandwiches,5,175,singapore
Sahira's 175 Western,pasta,5,142,singapore
151 Fish Head Steamboat,seafood,5,15,singapore
Thirsty Horse Bar & Bistro,chicken,4.9,28,singapore
Hua Kee Signatures,beverages,3.8,8,singapore
Shuang Shi Ni Lok Lok,chinese,4.9,106,singapore
Sevendaze,asian,4.5,14,singapore
Swee Traditional Prawn Noodle,chinese,1.5,5,singapore
Fat Belly Western Delights,western,4.6,22,singapore
Pasha Mezza and Grill,middle eastern,4.3,135,singapore
Famous Hongkong Style Charcoal Roasted Delights,rice dishes,4.8,152,singapore
Twelve Cupcakes,cakes,4.6,8,singapore
delato Handcrafted Ice Cream,dessert,4.7,15,singapore
YEW KEE CARROT CAKE,cakes,4.8,137,singapore
Ria Briyani,indian,4.8,62,singapore
Eng Kee Wanton Noodle,chinese,4.9,5,singapore
Ban Mian Fish Soup Porridge,porridge,4.9,98,singapore
Maruhachi Donburi & Curry,japanese,4.9,334,singapore
Meimei Japanese,japanese,5,421,singapore
Lazy Lizard,italian,4.9,6,singapore
Lau Pa Sat Congee,porridge,5,187,singapore
Shahana's Teh Tarik,tea,5,252,singapore
87 Just Thai Killiney,asian,4.9,451,singapore
Funwan,chinese,5,83,singapore
Pontian Wanton Noodle,chinese,5,78,singapore
Garden Street Kway Chap,asian,3.9,18,singapore
BERJAYA RESTAURANT,indian,4.9,56,singapore
JAPANESE & KOREAN FOOD,asian,4.9,167,singapore
Chang Jiang Seafood Restaurant,seafood,5,191,singapore
Chuan Chuan Le Mala Hotpot,chinese,4.9,31,singapore
Fei Zai Bak Kut Teh,singaporean,4.9,109,singapore
ZIRAP,korean,5,20,singapore
Hai Nan Hometown Curry,curry,4.9,25,singapore
Zaffron Kitchen,indian,4.1,39,singapore
Nana Thai Restaurant,thai,5,7,singapore
US Pizza,pizza,5,45,singapore
I Love Taimei,bubble tea,5,1011,singapore
Eightisfy Western,american,4.8,103,singapore
Nhung Kitchen,vietnamese,4.9,272,singapore
Taj Kitchen,indian,4.9,22,singapore
Fruitz Box,healthy,4.6,67,singapore
Ming Dynasty Roast Duck,asian,4.9,20,singapore
Khao Hom By Rung Mama,thai,5,95,singapore
Siam Smith,chicken,4.9,22,singapore
Aafiyah By Naser,malaysian,4.9,54,singapore
,chinese,4.8,24,singapore
Those Days Yong Tau Foo & Nasi Lemak,singaporean,4.9,22,singapore
Penang Heritage Seafood,chinese,4.9,144,singapore
Hainanese Hong Xing Li Palace,chinese,4.7,341,singapore
DaYan Herbal Soup & Claypot,chinese,4.9,546,singapore
Amigo's,fried chicken,5,2316,singapore
Chong City Penang Laksa,noodles,4.1,20,singapore
Lao Wei Dao Yong Tau Foo,asian,4.6,10,singapore
Crispy Wings Western Delights,western,4.9,30,singapore
Zaitun Family restaurant,indian,4.7,5,singapore
He Feng Seafood,chinese,4.8,174,singapore
Poulet,chicken,5,148,singapore
Abang Fried Chicken,chicken,5,223,singapore
Abriza,western,4.4,13,singapore
Gochupluk,sandwiches,5,11,singapore
Ha Lou Hokkien Mee,malaysian,4.5,10,singapore
Seafood Singapura,fried rice,4.1,668,singapore
Mr Teh Tarik Express,asian,4.3,57,singapore
Xi'an Cuisine,chinese,4.7,22,singapore
Island Curry Rice,malaysian,4.7,113,singapore
Happy Thai Food,thai,4.9,790,singapore
HeritageOne Indian Restaurant,asian,4.6,7,singapore
L32 Handmade Noodles,noodles,4.9,25,singapore
Oyster Omelette & Carrot Cake,cakes,5,133,singapore
Ume Garden,beverages,5,27,singapore
Flourful Delight,asian,4.9,26,singapore
Tendon Sekai,japanese,4.4,17,singapore
